ID,Answer
0,長劍
1,《諸羅縣志》
2,袁晁率起義軍
3,柏林陸軍學院
4,發球權
5,血盟救國軍軍歌》
6,1874年
7,西漢的版圖向西擴張
8,英國
9,有所更改
10,周星馳
11,五大老
12,站體位於高架樓層
13,
14,2007年
15,
16,共和黨
17,外面的部份溫度會比內部核心的低
18,經濟
19,80公里
20,愛爾蘭語
21,荷蘭
22,硫化物
23,塞爾維亞反對黨
24,1861年
25,蠻族事務局
26,拉丁文
27,希臘人
28,1964年
29,霍克菲爾德
30,文化大革命
31,《名人傳》
32,灣仔
33,中國
34,英文裡，有時候人們會以「霍布斯主義」一詞來形容一種無限制的、自私、而野蠻的競爭情況
35,1964年
36,新北市
37,白色
38,《中華人民共和國集會遊行示威法》
39,南人
40,南宋
41,四千名
42,
43,1070年
44,社會保障法規
45,第一教學樓
46,1929年
47,航天技術
48,1932年
49,大型購物中心[UNK]開幕
50,
51,自強學堂
52,1962年
53,亞歷山大一世被刺殺
54,
55,突厥語
56,預覽阿爾法版本
57,100萬
58,新北市
59,
60,
61,中國國民黨
62,中生代侏羅紀
63,阿拉貢國王卡洛斯三世
64,熱帶雨林氣候
65,意圖完全擺脫漢朝的控制
66,蔣中正
67,宋代
68,平飛速度
69,弘治十二年
70,印度
71,1984年
72,
73,氦
74,傳教士的主保
75,交通運輸部
76,法國駐韓大使館
77,朱少文
78,羽柴秀吉
79,俾斯麥
80,金泳三
81,1958年
82,靈魂」
83,科龍港
84,蓋爾人
85,十二平均律
86,西漢元封二年
87,隋文帝開皇九年四月，隋滅南陳
88,佛教
89,1861年
90,豐臣秀吉
91,三吳地區
92,鋼鐵和陶瓷
93,全國人大
94,武漢水利電力大學
95,克利奧爾語
96,1934年
97,檸檬酸咖啡因療法
98,1913年
99,1949年
100,大象
101,1915年
102,1600年
103,有絲分裂
104,美國
105,芝諾比亞
106,鮮王子
107,
108,佛學論書
109,北海道大學
110,下薩克森邦
111,
112,1944年
113,安娜·德·薩伏伊
114,巴夏禮
115,哈林河
116,孟加拉
117,樂比賽
118,中原
119,荷蘭語
120,威廉·洛厄爾·普特南
121,全國人民代表大會的決定和全國人民代表大會常務委員會
122,伊斯蘭王國，波斯人
123,
124,
125,
126,四百公尺
127,1939年
128,施里芬計劃的最主要目的為先使用大量優勢兵力向西擊敗法國然後再掉頭往東對付俄國，然而德國總參謀長小毛奇卻害怕德軍在東線戰線上沒有足夠兵力應付俄國
129,福建林家
130,用來運貨
131,公民權
132,西人黨
133,2013年
134,臺北
135,查莫洛人
136,杭縣
137,蘇聯國旗
138,38%
139,1939年
140,多腔磁控管雷達技術
141,石齋畫報
142,南越地區
143,1988年
144,
145,喬治麥高文
146,水鐘
147,多次御前會議
148,阿拉里克
149,德蘇戰爭
150,髒層
151,工業國家
152,1955年
153,就業保障制度
154,清光緒十七年
155,[UNK]
156,社會上的強勢控制
157,不簽署條約
158,乙醚
159,北魏太武帝
160,卡爾梅克人
161,1969年初
162,63位
163,
164,古希臘時代
165,天主教
166,
167,孫中山
168,農業
169,網景通訊公司
170,1870年8月2日
171,1999年
172,《天淨沙》
173,二次大戰
174,北魏正光元年
175,趙佗
176,官的文件
177,岑智明
178,普法戰爭
179,公元前362年
180,創建強力政府
181,28歲
182,2000年10月
183,保加利亞
184,彈性
185,10度
186,自由黨
187,
188,波士頓
189,1992年
190,網球
191,
192,明朝
193,猶太教堂
194,2000年
195,1998年
196,考古發現在約西元前8200年前的中國湖南
197,德
198,
199,阿森納女子足球俱樂部
200,一黨優勢制
201,
202,1920年
203,美元
204,多倫多
205,在軌道上驅動列車
206,邊沁
207,反貪污特警隊
208,艾瑪·史東
209,在時域上數學形式為連續函式的訊號
210,蘊含了北魏原型的高句麗佛教藝術展現了生命力與流動性
211,國王亞歷山大一世
212,威尼斯影展
213,真空帶
214,新北市
215,最根本的目的
216,海上疆界劃定的爭端。其中中華人民共和國與中華民國認為早在1534年明朝
217,克孜勒
218,主持一線工作
219,：好在歷史是人民寫的
220,美觀
221,中部科學園區
222,西部地區
223,1982年
224,之變
225,君主
226,山峰高於2500米
227,國立廣東大學
228,發明家
229,2006年
230,
231,
232,1262年
233,澎湖
234,三倍
235,0.4太陽質量
236,弘安之役
237,2014年
238,1968年
239,第六
240,本科課程以苛刻的標準、繁重的學業壓力
241,武隆區
242,萬神廟
243,阿美族
244,黑死病
245,2007年
246,
247,同性戀
248,2001年
249,夏曼
250,溥[UNK]
251,中共中央革命軍事委員會副主席
252,
253,廣東省政府委員會
254,遊戲
255,1951年
256,漢語拼音方案
257,1984年
258,天橋上的車站
259,布倫瑞克造型藝術學院
260,法蘭西第二帝國
261,福建人
262,全勝
263,夜間攔截任務
264,哥白尼日心說
265,濃度低
266,光緒年間
267,明朝
268,1848年
269,
270,1998年
271,南朝鮮
272,《南華早報》
273,臭蛋
274,佛像
275,阿聯
276,灣仔發展計劃第二期
277,坦克集團軍
278,田川氏
279,天狼星
280,自律心肌細胞
281,1961年，韓國人均國內生產毛額僅為80美元，80%的人口為文盲。韓國政府將15-20%的財政支出用於教育。1975-1985年
282,德語地區
283,
284,1237年
285,東羅馬
286,傅亮
287,奧地利
288,美國律師協會
289,1654年
290,清代
291,美川王
292,福澤諭吉
293,日本
294,1998年1月1日
295,第二星族的恆星速度會比哪一種的還要高？[SEP]一顆恆星相對於太陽運動可以提供這顆恆星的年齡和起源的有用資訊，並且還包括周圍的星系結構和演變。一顆恆星運動的成分包括徑向速度是接近或遠離太陽，和橫越天空
296,孟懷玉
297,細胞外的鈣離子
298,383年
299,羅納爾迪尼奧
300,秦軍
301,火山活動
302,利奧三世
303,拉丁字母
304,要提升飛機的飛行安全，降低因為鋼纜或者是滑輪等裝置失效導致失去控制的問題
305,丁基羥基甲苯
306,軍事圍剿，以致爆發為期一月的中緬大戰
307,芬蘭的赫爾辛基
308,第三紀中新世
309,中華民國
310,高麗時期
311,靳雲鵬
312,1958年
313,《馬德里議定書
314,1083種
315,曹魏故都智慧之旅
316,威廉港
317,布爾什維克革命
318,金本位制
319,彌爾歸納
320,
321,1928年
322,商品期貨
323,十多個
324,300美元
325,楊宇霆
326,體育事業
327,元世祖
328,力自行車
329,數學
330,亞熱帶季風氣候
331,經濟
332,長度為輔音
333,朱一貴
334,愛爾蘭語，在英語中也稱為[UNK]、[UNK]、[UNK][UNK]或[UNK]，因此在漢語中愛爾蘭語
335,發球失誤
336,銃炮
337,1961年
338,1980年代
339,凱·艾維
340,公元前33年
341,1980年
342,希伯來文
343,第四心音
344,2010年
345,武漢
346,1868年
347,托土拉島
348,中華民國
349,倫敦大學
350,發展史
351,岡底斯山脈西段群山
352,
353,突厥
354,三菱重工業長崎造船廠
355,小協約國
356,民主制度的恢復
357,硫礦
358,丹尼索瓦人混血
359,忽必烈
360,中國
361,2000年
362,拉直
363,波蘭
364,二戰
365,韓國
366,維京戈達島
367,1964年
368,史都華中校
369,1910年
370,中亞地區
371,沙阿摩訶末時期
372,1958年
373,1928年
374,激進組織
375,巴爾的摩市
376,中華民國政府
377,社團部負責社團聯席會議之召開，社團博覽會
378,他早年違反了一次
379,電子郵件
380,孔子
381,楊浦區大連路的地鐵站2號口
382,2005年
383,中國器官移植手術
384,哥白尼
385,60年代
386,雙循環泵功能
387,1809年
388,日本國內市場狹小而無法發展
389,32年
390,先使用大量優勢兵力向西擊敗法國然後再掉頭往東對付俄國，然而德國總參謀長小毛奇卻害怕德軍在東線戰線上沒有足夠兵力應付俄國
391,人文角度看，下薩克森邦幅員遼闊
392,伯克制
393,上限
394,國家起源說
395,路易·巴斯德
396,中部科學園區
